Id,Score,Country,Altitude,Variety,Processing,Arome,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean Cup,Sweetness,Cupper Points,Defects,Moisture,Defects 1,Quakers,Color,Defects 2
"#588079","84.92","Mexico","1200","Gesha","Washed / Wet","8.0","7.92","7.58","8.0","7.67","7.67","10.0","10.0","10.0","8.08","0.0","11 %","0 full defects","0","Blue-Green","4 full defects"
"#791971","84.92","Mexico","1340","Pacamara","Washed / Wet","7.75","8.0","7.67","8.08","7.83","7.67","10.0","10.0","10.0","7.92","0.0","9 %","0 full defects","0","Blue-Green","3 full defects"
"#581156","84.92","Mexico","950","Bourbon","Natural / Dry","8.08","7.83","7.67","7.92","7.75","7.75","10.0","10.0","10.0","7.92","0.0","11 %","0 full defects","0","Blue-Green","1 full defects"
"#123896","84.83","Kenya","1700","SL28","Washed / Wet","7.92","7.92","7.75","7.75","7.75","7.75","10.0","10.0","10.0","8.0","0.0","11 %","0 full defects","0","Green","2 full defects"
"#232194","84.83","Brazil","1280","Other","Washed / Wet","7.75","7.75","7.75","7.92","7.83","7.92","10.0","10.0","10.0","7.92","0.0","12 %","0 full defects","0","None","0 full defects"
"#542625","84.67","Brazil","1180","Other","Washed / Wet","7.83","7.83","7.92","7.67","7.92","7.83","10.0","10.0","10.0","7.67","0.0","11 %","0 full defects","0","Bluish-Green","0 full defects"
"#427875","84.67","Tanzania, United Republic Of","1700","Bourbon","Washed / Wet","7.83","7.83","7.5","8.0","7.92","7.75","10.0","10.0","10.0","7.83","0.0","12 %","0 full defects","0","Green","5 full defects"
"#501173","84.58","Costa Rica","1848","Caturra","Washed / Wet","7.75","7.75","7.67","8.0","7.92","7.75","10.0","10.0","10.0","7.75","0.0","9 %","0 full defects","3","None","3 full defects"
"#312019","84.50","Brazil","656","Other","Washed / Wet","7.83","7.75","7.58","7.83","7.83","7.75","10.0","10.0","10.0","7.92","0.0","11 %","0 full defects","0","Bluish-Green","2 full defects"
"#408751","84.50","Tanzania, United Republic Of","1700","Bourbon","Washed / Wet","7.75","7.75","7.83","7.67","7.83","7.83","10.0","10.0","10.0","7.83","0.0","12 %","0 full defects","0","nan","5 full defects"
"#694807","84.50","Uganda","2800","SL14","Washed / Wet","7.75","7.83","7.75","7.67","7.83","7.92","10.0","10.0","10.0","7.75","0.0","12 %","0 full defects","0","Green","10 full defects"
"#925989","84.25","Honduras","1450","Catuai","Washed / Wet","7.92","7.75","7.58","7.83","7.75","7.75","10.0","10.0","10.0","7.67","0.0","10 %","0 full defects","0","Green","1 full defects"
"#881745","84.08","Papua New Guinea","1600","Typica","Washed / Wet","7.67","7.92","7.67","7.67","7.67","7.75","10.0","10.0","10.0","7.75","0.0","11 %","0 full defects","0","Green","4 full defects"
"#551955","84.08","Vietnam","1040","Catimor","Washed / Wet","7.58","7.75","7.58","7.58","7.83","7.92","10.0","10.0","10.0","7.83","0.0","13 %","0 full defects","0","Bluish-Green","0 full defects"
"#502806","84.08","Burundi","1666","Bourbon","Washed / Wet","7.58","7.75","7.75","7.67","7.83","7.75","10.0","10.0","10.0","7.75","0.0","10 %","0 full defects","0","Green","1 full defects"
"#374364","84.08","Tanzania, United Republic Of","1700","Bourbon","Washed / Wet","8.17","7.67","7.5","7.67","7.75","7.67","10.0","10.0","10.0","7.67","0.0","12 %","0 full defects","0","Green","4 full defects"
